GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000002949,4.49,0.0714,0.244,1.67,0.019,0.047
ENSDARG00000002952,3.51,0.165,0.776,1.2,0.0686,0.13
ENSDARG00000002956,0.137,0.346,0.273,0.0512,0.055,0.052
ENSDARG00000002967,6.67,0.269,0.356,2.12,0.0701,0.0648
ENSDARG00000002968,0.861,0.0977,0.932,0.482,0.0819,0.153
ENSDARG00000002970,41.5,0.325,0.653,21.3,0.171,0.122
ENSDARG00000002971,5.91,0.309,0.652,3.51,0.182,0.125
ENSDARG00000002986,0.356,0.391,0.813,0.293,0.36,0.133
ENSDARG00000002988,1.73,0.0382,1.53,1.36,0.0645,0.278
ENSDARG00000002991,1.39,0.237,0.398,0.52,0.0595,0.0737
ENSDARG00000002994,2.56,0.232,0.658,1.1,0.0758,0.111
ENSDARG00000003008,0.426,0.0345,0.267,0.0799,0.012,0.0506
ENSDARG00000003017,3.21,0.0885,0.518,1.63,0.0321,0.0878
ENSDARG00000003020,0.0828,0.00874,0.334,0.0161,0.00622,0.0715
ENSDARG00000003021,1.39,0.126,0.25,0.372,0.0219,0.0481
ENSDARG00000003022,0.231,0.0617,0.281,0.0497,0.0196,0.0523
ENSDARG00000003027,2.25,0.25,1.07,1.85,0.191,0.184
ENSDARG00000003032,6.38,0.0224,0.446,2.39,0.016,0.085
ENSDARG00000003035,37.4,0.488,0.44,14.4,0.199,0.0839
ENSDARG00000003041,0.489,0.208,0.546,0.228,0.0709,0.0941
ENSDARG00000003046,0.297,0.154,0.505,0.233,0.117,0.0861
ENSDARG00000003058,3.94,0.143,0.582,3.67,0.137,0.0992
ENSDARG00000003061,2.6,0.102,0.597,0.864,0.0442,0.102
ENSDARG00000003068,3.03,0.202,0.424,2.49,0.16,0.079
ENSDARG00000003069,0.181,0.107,0.716,0.151,0.0716,0.118
ENSDARG00000003077,0.181,0.0152,0.598,0.0602,0.0149,0.118
ENSDARG00000003081,13.0,0.039,1.83,9.75,0.0659,0.322
ENSDARG00000003084,0.238,0.164,1.07,0.231,0.137,0.171
ENSDARG00000003085,1.94,0.365,0.444,1.27,0.24,0.087
ENSDARG00000003087,3.37,0.257,0.565,2.85,0.223,0.0994
ENSDARG00000003091,4.21,0.314,0.245,0.549,0.0228,0.0474
ENSDARG00000003098,11.6,0.2,0.324,2.74,0.0566,0.0601
ENSDARG00000003109,8.38,0.253,0.422,6.05,0.191,0.0784
ENSDARG00000003113,0.829,0.115,1.29,1.2,0.277,0.267
ENSDARG00000003127,2.59,0.0555,0.224,1.02,0.0166,0.0439
ENSDARG00000003132,6.5,0.0951,0.58,1.58,0.0333,0.0985
ENSDARG00000003142,2.01,0.542,0.715,1.14,0.305,0.127
ENSDARG00000003144,0.625,0.0967,0.789,0.473,0.0525,0.127
ENSDARG00000003146,0.0468,0.0157,0.372,0.0209,0.0287,0.0821
ENSDARG00000003151,75.1,0.244,0.275,36.5,0.102,0.0538
ENSDARG00000003153,6.58,0.0685,0.643,6.98,0.0588,0.108
ENSDARG00000003157,0.269,0.0772,0.219,0.183,0.0458,0.0423
ENSDARG00000003165,2.09,0.0517,0.952,0.688,0.0278,0.152
ENSDARG00000003167,1.32,0.086,0.528,1.21,0.0679,0.0906
ENSDARG00000003169,15.9,0.231,0.571,12.1,0.173,0.1
ENSDARG00000003175,2.83,0.145,0.461,2.31,0.118,0.0812
ENSDARG00000003181,0.116,0.028,0.512,0.0407,0.0197,0.0943
ENSDARG00000003189,27.2,0.241,0.354,7.67,0.0795,0.0662
ENSDARG00000003193,2.78,0.174,1.03,1.28,0.0979,0.165
ENSDARG00000003197,0.518,0.117,0.906,0.506,0.0982,0.146
ENSDARG00000003200,3.48,0.196,0.932,2.61,0.139,0.168
