GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000023104,0.664,0.083,0.518,0.429,0.0746,0.0905
ENSDARG00000023110,1.5,0.194,0.827,1.38,0.172,0.138
ENSDARG00000023111,0.477,0.0218,0.909,0.19,0.0227,0.168
ENSDARG00000023117,0.595,0.0638,0.723,0.492,0.0371,0.12
ENSDARG00000023151,1.03,0.0497,1.16,1.08,0.118,0.244
ENSDARG00000023152,0.442,0.0756,0.558,0.371,0.0526,0.0951
ENSDARG00000023157,0.394,0.0442,0.839,0.146,0.0271,0.138
ENSDARG00000023160,1.6,0.0902,0.319,0.476,0.0111,0.0591
ENSDARG00000023174,0.632,0.0184,0.968,0.234,0.0167,0.179
ENSDARG00000023176,0.219,0.16,0.801,0.24,0.261,0.154
ENSDARG00000023181,0.939,0.132,0.913,0.628,0.125,0.148
ENSDARG00000023185,0.417,0.341,0.278,0.256,0.234,0.0537
ENSDARG00000023188,2.41,0.163,1.38,1.31,0.105,0.214
ENSDARG00000023190,3.04,0.0523,0.645,2.27,0.025,0.109
ENSDARG00000023214,0.819,0.0593,0.642,0.62,0.0315,0.108
ENSDARG00000023217,1.43,0.199,0.752,1.36,0.204,0.124
ENSDARG00000023220,6.53,0.0785,0.439,2.34,0.0357,0.0775
ENSDARG00000023228,0.445,0.0179,0.851,0.209,0.0304,0.165
ENSDARG00000023237,0.914,0.114,0.494,0.83,0.0984,0.0858
ENSDARG00000023267,0.909,0.167,0.684,0.415,0.0517,0.113
ENSDARG00000023272,0.49,0.119,0.927,0.405,0.146,0.154
ENSDARG00000023279,6.79,0.0915,0.621,1.69,0.033,0.106
ENSDARG00000023287,0.114,0.166,0.274,0.0585,0.0952,0.0511
ENSDARG00000023290,39.8,0.085,0.938,27.8,0.0802,0.152
ENSDARG00000023298,96.7,0.0535,0.629,38.6,0.0318,0.108
ENSDARG00000023299,8.81,0.0478,0.886,10.6,0.0361,0.143
ENSDARG00000023302,0.0494,0.165,0.493,0.0465,0.147,0.0851
ENSDARG00000023303,3.25,0.206,0.325,0.857,0.0349,0.0599
ENSDARG00000023309,2.76,0.163,0.431,1.25,0.0565,0.076
ENSDARG00000023316,0.14,0.0742,0.34,0.0419,0.0303,0.0614
ENSDARG00000023318,0.0566,0.0127,0.32,0.0151,0.00983,0.068
ENSDARG00000023323,23.3,0.0763,0.564,5.85,0.029,0.096
ENSDARG00000023330,5.04,0.0407,0.406,2.44,0.00759,0.0735
ENSDARG00000023362,0.0227,0.148,0.304,0.0216,0.127,0.0547
ENSDARG00000023369,0.061,0.235,0.311,0.0557,0.207,0.0574
ENSDARG00000023394,2.29,0.0568,0.58,1.39,0.0215,0.0988
ENSDARG00000023396,3.93,0.335,0.734,1.58,0.102,0.126
ENSDARG00000023443,19.3,0.497,0.378,3.45,0.0552,0.0686
ENSDARG00000023445,0.15,0.014,0.601,0.0505,0.0152,0.125
ENSDARG00000023448,0.163,0.0114,0.39,0.0354,0.00756,0.0799
ENSDARG00000023472,16.1,0.159,0.279,3.85,0.0238,0.0527
ENSDARG00000023479,0.0016,0.108,0.777,0.00188,0.0331,0.128
ENSDARG00000023484,0.0728,0.0252,0.261,0.0244,0.016,0.0524
ENSDARG00000023495,4.09,0.165,0.392,1.8,0.0785,0.0711
ENSDARG00000023498,3.47,0.321,0.401,1.79,0.153,0.078
ENSDARG00000023508,1.22,0.288,0.357,0.37,0.0638,0.0666
ENSDARG00000023532,10.7,0.337,0.361,2.51,0.0517,0.0669
ENSDARG00000023536,18.9,0.128,0.325,13.6,0.104,0.0591
ENSDARG00000023537,0.0725,0.0122,0.355,0.0231,0.0151,0.0754
ENSDARG00000023542,0.517,0.0495,0.626,0.155,0.0238,0.105
ENSDARG00000023546,0.871,0.373,1.18,0.682,0.276,0.195
ENSDARG00000023578,1.63,0.233,0.436,0.821,0.107,0.0777
ENSDARG00000023583,0.866,0.049,0.677,0.713,0.0673,0.128
ENSDARG00000023584,1.78,0.235,0.594,0.872,0.0651,0.11
ENSDARG00000023587,1.98,0.33,0.736,1.09,0.198,0.135
ENSDARG00000023591,1.9,0.114,0.201,0.401,0.0167,0.0396
ENSDARG00000023600,2.24,0.206,0.951,2.06,0.211,0.156
ENSDARG00000023627,1.78,0.237,0.519,0.529,0.0427,0.0909
ENSDARG00000023645,1.24,0.0983,0.535,0.962,0.101,0.0924
ENSDARG00000023648,42.0,0.537,0.533,18.2,0.242,0.104
ENSDARG00000023656,3.26,0.053,2.22,1.87,0.0396,0.33
ENSDARG00000023659,0.619,0.155,0.324,0.3,0.0968,0.0585
ENSDARG00000023672,3.27,0.174,0.322,0.779,0.0514,0.0596
ENSDARG00000023678,0.574,0.0699,0.257,0.343,0.0321,0.0483
ENSDARG00000023683,0.247,0.207,0.657,0.233,0.231,0.112
ENSDARG00000023694,0.536,0.0182,0.514,0.121,0.0107,0.0947
ENSDARG00000023703,2.31,0.107,0.351,0.447,0.0282,0.064
ENSDARG00000023712,0.204,0.0133,0.393,0.0505,0.0111,0.0811
ENSDARG00000023713,0.733,0.0254,1.11,0.353,0.0319,0.2
ENSDARG00000023724,1.23,0.0836,0.604,0.885,0.0465,0.101
ENSDARG00000023759,0.298,0.2,0.583,0.284,0.226,0.104
ENSDARG00000023766,3.43,0.433,0.594,1.88,0.231,0.107
ENSDARG00000023768,0.227,0.143,1.16,0.166,0.0526,0.184
ENSDARG00000023771,0.13,0.0164,0.58,0.0492,0.0183,0.119
ENSDARG00000023797,0.232,0.0193,0.645,0.0736,0.0147,0.12
ENSDARG00000023814,1.74,0.103,0.41,1.53,0.0836,0.071
ENSDARG00000023815,0.762,0.331,0.749,0.31,0.0728,0.127
ENSDARG00000023820,0.395,0.0208,0.784,0.224,0.0366,0.165
ENSDARG00000023840,0.263,0.27,0.704,0.158,0.108,0.119
ENSDARG00000023852,31.5,0.336,0.501,13.4,0.123,0.0949
ENSDARG00000023858,0.918,0.0458,0.467,0.743,0.0266,0.084
ENSDARG00000023861,0.159,0.023,0.737,0.0812,0.0346,0.143
ENSDARG00000023868,0.341,0.149,0.51,0.243,0.0936,0.0866
ENSDARG00000023878,3.42,0.0807,0.683,3.12,0.0611,0.114
ENSDARG00000023886,0.175,0.117,0.714,0.187,0.193,0.14
ENSDARG00000023900,0.989,0.137,0.808,0.734,0.0867,0.132
ENSDARG00000023903,0.266,0.28,0.55,0.13,0.0888,0.0956
ENSDARG00000023914,0.553,0.198,0.804,0.531,0.189,0.131
ENSDARG00000023916,1.47,0.37,0.778,0.575,0.0888,0.13
ENSDARG00000023920,2.07,0.0772,0.502,0.991,0.024,0.0866
ENSDARG00000023927,0.714,0.198,0.757,0.642,0.169,0.127
ENSDARG00000023933,1.32,0.19,0.639,0.76,0.0921,0.108
ENSDARG00000023940,0.0808,0.0152,0.498,0.0343,0.0229,0.105
ENSDARG00000023950,0.722,0.124,0.584,0.413,0.0384,0.0999
ENSDARG00000023952,0.322,0.0836,0.754,0.127,0.0437,0.123
ENSDARG00000023958,1.46,0.222,0.556,0.713,0.0841,0.099
ENSDARG00000023963,4.69,0.0363,1.01,1.63,0.0222,0.166
ENSDARG00000023967,7.89,0.206,0.481,3.08,0.103,0.0834
ENSDARG00000023988,7.74,0.293,0.423,3.55,0.124,0.0777
ENSDARG00000023989,22.2,1.09,0.605,7.65,0.328,0.119
ENSDARG00000023999,0.472,0.0809,0.588,0.356,0.0464,0.101
ENSDARG00000024006,0.304,0.0797,0.708,0.135,0.0528,0.117
ENSDARG00000024017,0.099,0.0381,0.466,0.0863,0.0711,0.0983
ENSDARG00000024026,1.64,0.1,0.729,1.7,0.0881,0.122
ENSDARG00000024030,0.198,0.0281,0.471,0.0533,0.0152,0.0849
ENSDARG00000024032,0.124,0.116,0.686,0.141,0.216,0.137
ENSDARG00000024047,3.46,0.0262,1.32,1.64,0.0294,0.228
ENSDARG00000024090,0.29,0.053,0.284,0.238,0.0539,0.0564
ENSDARG00000024092,0.803,0.205,0.319,0.511,0.135,0.0597
ENSDARG00000024101,0.065,0.0359,0.166,0.0127,0.0114,0.0343
ENSDARG00000024109,2.06,0.0505,0.292,0.75,0.00931,0.0545
ENSDARG00000024112,0.982,0.143,0.495,0.812,0.131,0.0851
ENSDARG00000024116,3.64,0.163,0.205,0.992,0.0362,0.0399
ENSDARG00000024124,1.04,0.0677,0.668,0.572,0.0195,0.113
ENSDARG00000024141,1.6,0.0315,1.37,0.763,0.0268,0.232
ENSDARG00000024160,0.76,0.03,1.11,0.313,0.0237,0.186
ENSDARG00000024184,6.14,0.233,0.741,4.64,0.174,0.131
ENSDARG00000024189,0.72,0.29,0.522,0.326,0.141,0.0933
ENSDARG00000024195,2.38,0.251,0.928,2.12,0.224,0.149
ENSDARG00000024204,7.47,0.114,1.19,3.14,0.0609,0.19
ENSDARG00000024209,4.29,0.141,0.327,1.32,0.0292,0.0605
ENSDARG00000024219,0.811,0.209,0.668,0.691,0.189,0.113
ENSDARG00000024229,1.32,0.334,0.762,0.61,0.116,0.13
ENSDARG00000024276,0.569,0.0216,0.765,0.174,0.0144,0.137
ENSDARG00000024277,0.266,0.079,0.495,0.175,0.0364,0.0854
ENSDARG00000024278,6.28,0.0293,0.49,2.92,0.0245,0.0936
ENSDARG00000024295,27.7,0.58,0.372,10.6,0.235,0.0744
ENSDARG00000024299,1.54,0.484,1.09,1.09,0.336,0.173
ENSDARG00000024306,0.427,0.0442,0.294,0.348,0.0277,0.0569
ENSDARG00000024311,0.807,0.113,0.485,0.312,0.0191,0.0849
ENSDARG00000024314,2.2,0.0929,0.718,1.68,0.0578,0.117
ENSDARG00000024317,6.82,0.423,0.396,3.36,0.213,0.0795
ENSDARG00000024324,3.3,0.133,0.507,2.65,0.111,0.0868
ENSDARG00000024325,1.15,0.0922,0.768,1.25,0.0804,0.126
ENSDARG00000024365,2.2,0.435,0.381,1.12,0.242,0.0751
ENSDARG00000024381,5.19,0.335,0.754,2.67,0.177,0.138
ENSDARG00000024398,3.5,0.11,0.615,2.94,0.0902,0.103
ENSDARG00000024416,0.718,0.127,0.409,0.267,0.0217,0.0733
ENSDARG00000024431,0.95,0.0776,0.548,0.872,0.0604,0.0941
ENSDARG00000024433,11.2,0.159,2.36,13.7,0.318,0.417
ENSDARG00000024443,0.877,0.0473,0.343,0.939,0.0416,0.0655
ENSDARG00000024465,14.6,0.267,0.527,7.16,0.144,0.0945
ENSDARG00000024471,3.39,0.23,0.826,2.05,0.137,0.153
ENSDARG00000024478,8.98,0.0706,0.328,1.76,0.0212,0.0605
ENSDARG00000024479,1.31,0.292,0.502,0.924,0.228,0.0917
ENSDARG00000024488,3.07,0.0677,0.681,3.58,0.0475,0.115
ENSDARG00000024492,3.25,0.0235,1.13,1.35,0.0212,0.201
ENSDARG00000024503,0.402,0.379,0.925,0.379,0.425,0.153
ENSDARG00000024537,0.243,0.0272,0.497,0.0611,0.0134,0.089
ENSDARG00000024540,11.1,0.348,0.693,4.49,0.116,0.12
ENSDARG00000024546,0.55,0.225,0.383,0.285,0.135,0.0699
ENSDARG00000024548,5.93,0.116,2.05,7.29,0.234,0.378
ENSDARG00000024560,0.116,0.0219,0.383,0.0425,0.0179,0.0775
ENSDARG00000024561,1.51,0.0438,0.659,0.979,0.0127,0.113
ENSDARG00000024564,4.32,0.311,0.391,1.86,0.121,0.0721
ENSDARG00000024575,0.0347,0.0203,0.295,0.0221,0.0397,0.0658
ENSDARG00000024588,0.0313,0.0117,0.253,0.00826,0.0108,0.0579
ENSDARG00000024598,5.85,0.325,0.395,2.19,0.103,0.0767
ENSDARG00000024602,0.414,0.0654,0.748,0.372,0.042,0.124
ENSDARG00000024619,0.0593,0.0126,0.283,0.0151,0.00959,0.0607
ENSDARG00000024631,0.0434,0.859,0.228,0.0564,0.331,0.0493
ENSDARG00000024642,0.538,0.0465,0.473,0.374,0.0209,0.0846
ENSDARG00000024651,2.56,0.0681,0.196,0.464,0.00508,0.0385
ENSDARG00000024654,0.731,0.0985,0.495,0.583,0.0692,0.0849
ENSDARG00000024669,10.8,0.281,0.672,7.45,0.188,0.125
ENSDARG00000024681,2.29,0.13,0.422,0.998,0.0292,0.0759
ENSDARG00000024687,0.0141,0.542,0.252,0.0127,0.0949,0.0476
ENSDARG00000024693,1.18,0.069,0.768,0.961,0.0405,0.127
ENSDARG00000024694,7.22,0.228,0.707,5.07,0.162,0.119
ENSDARG00000024708,0.221,0.162,0.496,0.159,0.144,0.0852
ENSDARG00000024717,2.28,0.145,0.509,1.98,0.123,0.0877
ENSDARG00000024728,3.29,0.348,0.523,1.85,0.208,0.0978
ENSDARG00000024740,0.262,0.121,0.791,0.275,0.189,0.151
ENSDARG00000024744,0.116,0.0154,0.469,0.0488,0.0218,0.0985
ENSDARG00000024746,2.22,0.0736,0.696,0.941,0.045,0.117
ENSDARG00000024759,0.0164,0.0248,0.191,0.0123,0.055,0.0488
ENSDARG00000024771,0.131,0.026,0.564,0.0464,0.0213,0.103
ENSDARG00000024775,2.27,0.451,0.804,0.856,0.109,0.139
ENSDARG00000024785,1.91,0.158,1.08,1.81,0.168,0.171
ENSDARG00000024789,0.0404,0.0197,0.213,0.0098,0.0101,0.0441
ENSDARG00000024815,0.178,0.096,0.606,0.144,0.0607,0.102
ENSDARG00000024818,1.26,0.188,0.272,0.256,0.0465,0.0508
ENSDARG00000024827,0.186,0.185,0.604,0.17,0.162,0.102
ENSDARG00000024828,6.67,0.14,0.997,5.36,0.101,0.171
ENSDARG00000024829,2.0,0.0359,1.3,1.14,0.0425,0.225
ENSDARG00000024831,0.178,0.0196,0.595,0.0694,0.022,0.117
ENSDARG00000024844,5.64,0.0491,0.495,3.84,0.0224,0.0871
ENSDARG00000024846,14.8,0.416,0.368,4.06,0.127,0.0693
ENSDARG00000024847,0.146,0.134,0.484,0.148,0.167,0.0908
ENSDARG00000024865,0.88,0.382,0.846,0.615,0.283,0.139
ENSDARG00000024874,0.835,0.239,0.653,0.436,0.103,0.112
ENSDARG00000024877,5.8,0.374,0.642,3.17,0.178,0.125
ENSDARG00000024894,0.176,0.121,0.393,0.0876,0.0776,0.0696
ENSDARG00000024895,2.76,0.0695,0.277,1.11,0.0183,0.0518
ENSDARG00000024904,1.32,0.373,0.655,0.657,0.101,0.128
ENSDARG00000024920,1.52,0.106,0.686,1.41,0.0877,0.115
ENSDARG00000024933,1.09,0.105,0.377,0.365,0.0229,0.0678
ENSDARG00000024940,6.01,0.406,0.609,2.54,0.183,0.112
ENSDARG00000024954,1.19,0.0472,0.361,0.228,0.0148,0.0663
ENSDARG00000024964,0.331,0.0893,0.591,0.237,0.0482,0.0996
ENSDARG00000024966,1.89,0.115,0.362,0.512,0.0428,0.0656
ENSDARG00000024967,0.348,0.216,0.498,0.152,0.0452,0.0901
ENSDARG00000025011,0.492,0.07,0.606,0.443,0.0889,0.111
ENSDARG00000025012,1.54,0.166,1.14,1.19,0.115,0.179
ENSDARG00000025013,0.049,0.093,0.343,0.0567,0.163,0.0748
ENSDARG00000025017,0.341,0.065,0.767,0.149,0.0386,0.125
ENSDARG00000025024,0.0758,0.0177,0.296,0.0174,0.00913,0.0582
ENSDARG00000025032,1.5,0.0832,0.572,1.1,0.078,0.0979
ENSDARG00000025033,1.14,0.0915,0.512,0.684,0.0436,0.0876
ENSDARG00000025034,0.173,0.0128,0.566,0.0504,0.0114,0.116
ENSDARG00000025043,0.398,0.0713,0.655,0.436,0.0465,0.11
ENSDARG00000025071,7.19,0.166,0.272,1.87,0.0314,0.0517
ENSDARG00000025073,113.0,0.0651,0.509,40.2,0.0311,0.0883
ENSDARG00000025074,8.64,0.542,0.621,3.47,0.193,0.11
ENSDARG00000025076,1.88,0.235,0.577,0.778,0.0696,0.0984
ENSDARG00000025081,2.32,0.121,0.665,2.17,0.1,0.11
ENSDARG00000025089,0.0441,0.0132,0.243,0.013,0.0125,0.0541
ENSDARG00000025091,9.18,0.287,0.632,3.95,0.103,0.108
ENSDARG00000025094,2.87,0.194,0.336,0.702,0.0316,0.0619
ENSDARG00000025106,0.439,0.0209,0.656,0.259,0.0336,0.135
ENSDARG00000025108,0.252,0.213,0.478,0.234,0.195,0.0823
ENSDARG00000025131,1.08,0.0902,0.611,0.435,0.0479,0.101
ENSDARG00000025147,4.26,0.0255,0.739,1.12,0.0145,0.129
ENSDARG00000025162,0.04,0.0104,0.235,0.00876,0.00703,0.0538
ENSDARG00000025174,0.11,0.116,1.2,0.0871,0.0307,0.185
ENSDARG00000025187,0.157,0.033,0.406,0.0532,0.0187,0.0746
ENSDARG00000025189,0.0901,0.225,0.351,0.0842,0.22,0.0643
ENSDARG00000025206,0.419,0.123,0.554,0.416,0.142,0.0985
ENSDARG00000025212,11.0,0.637,0.54,4.68,0.247,0.107
ENSDARG00000025218,0.376,0.138,0.744,0.236,0.0632,0.123
ENSDARG00000025220,3.16,0.0828,0.714,3.12,0.0657,0.118
ENSDARG00000025226,0.268,0.0521,0.566,0.191,0.0216,0.0973
ENSDARG00000025233,1.07,0.176,0.53,0.562,0.11,0.0914
ENSDARG00000025254,3.99,0.0213,0.951,1.26,0.0144,0.164
ENSDARG00000025269,6.53,0.285,0.632,3.31,0.134,0.107
ENSDARG00000025275,0.191,0.459,0.484,0.0993,0.0896,0.085
ENSDARG00000025285,0.442,0.0358,0.343,0.256,0.0121,0.0635
ENSDARG00000025299,0.464,0.154,0.698,0.402,0.134,0.116
ENSDARG00000025301,2.14,0.0341,1.4,1.09,0.0303,0.232
ENSDARG00000025302,0.386,0.0179,0.552,0.0909,0.011,0.101
ENSDARG00000025309,0.113,0.0198,0.291,0.0238,0.0091,0.0559
ENSDARG00000025311,0.13,0.393,0.499,0.106,0.336,0.0852
ENSDARG00000025319,1.79,0.295,0.615,1.41,0.241,0.111
ENSDARG00000025320,0.0496,0.0341,0.301,0.0168,0.0213,0.0582
ENSDARG00000025325,0.318,0.162,0.665,0.321,0.211,0.115
ENSDARG00000025326,48.5,0.448,0.442,15.9,0.16,0.0832
ENSDARG00000025332,14.0,0.38,0.708,5.94,0.172,0.129
ENSDARG00000025338,0.889,0.0375,0.514,0.424,0.0305,0.0938
ENSDARG00000025340,12.2,0.354,0.197,3.77,0.118,0.0401
ENSDARG00000025346,2.03,0.237,0.861,1.28,0.179,0.145
ENSDARG00000025348,0.435,0.0181,0.674,0.125,0.0126,0.125
ENSDARG00000025350,46.9,0.151,0.614,26.0,0.117,0.104
ENSDARG00000025372,0.0028,0.147,1.57,0.00419,0.181,0.234
ENSDARG00000025375,37.0,0.658,0.401,11.1,0.165,0.076
ENSDARG00000025383,2.12,0.306,0.433,0.844,0.0839,0.0783
ENSDARG00000025386,0.0359,0.325,0.994,0.0381,0.0553,0.158
ENSDARG00000025391,29.7,0.363,0.456,10.0,0.138,0.0847
ENSDARG00000025397,3.59,0.034,0.563,3.98,0.0201,0.0999
ENSDARG00000025403,7.04,0.196,1.09,3.79,0.112,0.18
ENSDARG00000025404,8.05,0.318,0.485,5.08,0.217,0.0905
ENSDARG00000025420,1.02,0.123,0.82,0.763,0.105,0.134
ENSDARG00000025421,5.18,0.3,0.726,3.83,0.213,0.136
ENSDARG00000025428,0.241,0.0254,0.725,0.136,0.0408,0.148
ENSDARG00000025436,1.12,0.0965,0.48,0.495,0.0304,0.0845
ENSDARG00000025465,0.298,0.108,0.323,0.083,0.0399,0.0593
ENSDARG00000025467,0.882,0.0483,0.769,0.947,0.034,0.129
ENSDARG00000025468,0.881,0.0621,0.279,0.628,0.0545,0.0533
ENSDARG00000025478,0.0193,0.0339,0.219,0.0179,0.0767,0.055
ENSDARG00000025495,0.682,0.0281,0.921,0.243,0.0192,0.157
ENSDARG00000025500,1.92,0.386,0.549,0.577,0.073,0.0964
ENSDARG00000025504,0.0306,0.0454,0.278,0.0312,0.0914,0.0681
ENSDARG00000025507,5.76,0.406,0.658,2.51,0.187,0.122
ENSDARG00000025513,1.73,0.687,0.757,0.612,0.116,0.13
ENSDARG00000025518,1.97,0.171,0.521,0.886,0.0599,0.0902
ENSDARG00000025522,9.59,0.48,0.738,4.52,0.201,0.128
ENSDARG00000025535,8.03,0.197,0.475,2.11,0.0629,0.0837
ENSDARG00000025549,2.34,0.0634,0.293,0.378,0.0164,0.0546
ENSDARG00000025554,43.1,0.356,0.382,14.4,0.135,0.0713
ENSDARG00000025555,0.11,0.17,0.936,0.0814,0.058,0.149
ENSDARG00000025559,0.234,0.109,0.254,0.0811,0.0494,0.0478
ENSDARG00000025566,171.0,0.231,0.159,28.1,0.044,0.0329
ENSDARG00000025567,6.99,0.46,0.537,3.73,0.249,0.107
ENSDARG00000025576,2.81,0.485,0.623,0.869,0.095,0.108
ENSDARG00000025577,3.22,0.314,0.534,1.15,0.123,0.0968
ENSDARG00000025581,90.8,0.0736,0.524,27.1,0.0298,0.0899
ENSDARG00000025593,0.752,0.181,0.407,0.679,0.181,0.0726
ENSDARG00000025595,1.41,0.552,1.12,0.928,0.286,0.18
ENSDARG00000025605,0.793,0.0401,0.203,0.262,0.00799,0.0408
ENSDARG00000025607,0.0212,0.119,0.488,0.0221,0.133,0.0824
ENSDARG00000025608,0.457,0.348,0.338,0.147,0.0769,0.0626
ENSDARG00000025615,0.098,0.0116,0.215,0.0174,0.00593,0.0456
ENSDARG00000025641,1.47,0.108,0.65,0.445,0.0429,0.11
ENSDARG00000025667,0.225,0.19,0.621,0.238,0.249,0.111
ENSDARG00000025670,0.872,0.511,1.02,0.666,0.434,0.164
ENSDARG00000025671,0.0716,0.0108,0.349,0.0177,0.00845,0.074
ENSDARG00000025672,0.179,0.325,0.535,0.115,0.164,0.0921
ENSDARG00000025679,0.157,0.017,0.249,0.0238,0.00645,0.0493
ENSDARG00000025693,12.5,0.506,0.362,6.55,0.277,0.0733
ENSDARG00000025699,0.651,0.0538,0.467,0.424,0.0236,0.0827
ENSDARG00000025703,1.3,0.0499,0.664,0.614,0.0365,0.114
ENSDARG00000025718,0.528,0.0589,0.676,0.445,0.0353,0.114
ENSDARG00000025728,0.588,0.139,1.23,0.792,0.292,0.241
ENSDARG00000025754,7.81,0.322,0.27,1.92,0.0643,0.0524
ENSDARG00000025757,0.583,0.0789,0.598,0.468,0.0829,0.101
ENSDARG00000025766,0.95,0.354,0.773,0.383,0.0805,0.128
ENSDARG00000025788,1.54,0.285,0.756,0.714,0.0977,0.127
ENSDARG00000025789,4.67,0.0913,0.401,4.23,0.0762,0.0707
ENSDARG00000025797,1.11,0.462,0.44,0.288,0.0695,0.0781
ENSDARG00000025808,0.382,0.0429,0.842,0.398,0.0263,0.141
ENSDARG00000025820,0.222,0.0835,0.534,0.121,0.0191,0.0903
ENSDARG00000025824,0.832,0.0879,0.414,0.759,0.0717,0.0738
ENSDARG00000025826,0.374,0.0365,0.489,0.0902,0.016,0.0856
ENSDARG00000025847,0.273,0.0252,0.836,0.103,0.0203,0.147
ENSDARG00000025850,147.0,0.0516,0.598,51.3,0.0271,0.1
ENSDARG00000025854,0.434,0.0445,0.405,0.222,0.0124,0.0738
ENSDARG00000025855,0.422,0.0145,0.765,0.137,0.0126,0.146
ENSDARG00000025858,12.1,0.16,0.58,10.5,0.128,0.103
ENSDARG00000025859,3.18,0.117,0.613,2.4,0.0793,0.105
ENSDARG00000025866,0.172,0.161,0.326,0.0935,0.106,0.0589
ENSDARG00000025875,0.745,0.236,0.386,0.4,0.149,0.0694
ENSDARG00000025889,19.5,0.342,0.543,6.82,0.136,0.1
ENSDARG00000025891,0.269,0.0203,0.748,0.134,0.0337,0.144
ENSDARG00000025899,1.69e-08,0.16,1.18,2.29e-08,0.197,0.179
ENSDARG00000025902,0.885,0.284,0.815,0.551,0.158,0.132
ENSDARG00000025903,0.0556,0.0221,0.393,0.0344,0.04,0.0862
ENSDARG00000025904,8.62,0.0908,0.66,5.36,0.0812,0.112
ENSDARG00000025912,0.2,0.029,0.771,0.0866,0.0322,0.137
ENSDARG00000025914,0.058,0.0675,0.339,0.0512,0.0913,0.0698
ENSDARG00000025920,1.98,0.407,0.573,0.889,0.193,0.105
ENSDARG00000025948,4.1,0.569,0.405,1.54,0.178,0.0783
ENSDARG00000025949,0.295,0.18,0.523,0.143,0.0579,0.0907
ENSDARG00000025953,1.56,0.177,1.29,1.47,0.161,0.201
ENSDARG00000025972,27.3,0.343,0.361,8.26,0.119,0.0677
ENSDARG00000025974,0.127,0.174,0.596,0.11,0.133,0.101
ENSDARG00000025977,13.9,0.209,0.266,2.27,0.0421,0.0498
ENSDARG00000025983,0.113,0.11,0.609,0.0992,0.0786,0.103
ENSDARG00000026017,0.464,0.363,0.78,0.372,0.318,0.125
ENSDARG00000026024,1.01,0.0768,0.422,0.88,0.0566,0.0746
ENSDARG00000026028,0.222,0.151,0.605,0.167,0.0962,0.101
ENSDARG00000026035,1.6,0.119,0.223,0.294,0.0285,0.0434
ENSDARG00000026048,0.507,0.116,0.923,0.431,0.0823,0.148
ENSDARG00000026049,0.0587,0.217,0.313,0.0483,0.206,0.0569
ENSDARG00000026052,0.155,0.0857,0.525,0.0607,0.0451,0.0908
ENSDARG00000026053,1.95,0.21,0.547,0.661,0.0812,0.0956
ENSDARG00000026068,19.2,0.606,0.202,2.76,0.0688,0.0413
ENSDARG00000026070,4.38,0.397,0.83,1.71,0.106,0.14
ENSDARG00000026072,62.3,0.537,0.426,28.5,0.253,0.0867
ENSDARG00000026084,0.0167,0.0224,0.164,0.00991,0.0363,0.0398
ENSDARG00000026086,0.0968,0.761,0.158,0.0558,0.268,0.0368
ENSDARG00000026090,1.83,0.26,1.15,1.13,0.157,0.197
ENSDARG00000026098,0.0433,0.0148,0.283,0.015,0.0164,0.0632
ENSDARG00000026109,5.4,0.294,0.412,1.42,0.054,0.075
ENSDARG00000026137,0.745,0.22,0.622,0.722,0.226,0.106
ENSDARG00000026149,1.45,0.435,0.682,0.487,0.075,0.117
ENSDARG00000026165,3.35,0.0261,1.31,1.51,0.022,0.228
ENSDARG00000026166,0.896,0.113,0.756,0.751,0.114,0.124
ENSDARG00000026170,0.79,0.163,0.708,0.716,0.145,0.118
ENSDARG00000026178,2.09,0.248,0.607,0.996,0.126,0.11
ENSDARG00000026180,0.966,0.0295,0.249,0.463,0.00705,0.0487
ENSDARG00000026183,3.19,0.0469,0.546,3.7,0.0321,0.0954
ENSDARG00000026185,18.1,0.355,0.851,11.0,0.212,0.161
ENSDARG00000026198,10.6,0.577,0.375,5.5,0.308,0.0798
ENSDARG00000026224,0.759,0.138,0.895,0.683,0.114,0.151
ENSDARG00000026225,0.463,0.077,0.35,0.17,0.0111,0.064
ENSDARG00000026229,0.237,0.0893,0.837,0.276,0.184,0.171
ENSDARG00000026236,2.64,0.135,1.3,1.25,0.077,0.204
ENSDARG00000026247,0.121,0.0165,0.593,0.0515,0.0232,0.122
ENSDARG00000026248,0.363,0.354,0.542,0.26,0.26,0.0953
ENSDARG00000026281,1.23,0.278,0.421,0.47,0.121,0.0774
ENSDARG00000026294,0.73,0.194,0.494,0.269,0.0843,0.0863
ENSDARG00000026296,0.0867,0.0796,1.42,0.0798,0.0331,0.221
ENSDARG00000026322,0.72,0.117,0.557,0.242,0.0531,0.0951
ENSDARG00000026325,0.0731,0.0154,0.317,0.0171,0.00896,0.0634
ENSDARG00000026329,0.353,0.0619,0.593,0.115,0.0299,0.101
ENSDARG00000026333,0.0469,0.0132,0.249,0.0132,0.011,0.0569
ENSDARG00000026335,0.058,0.018,0.389,0.0287,0.0286,0.085
ENSDARG00000026338,0.0417,0.16,0.592,0.0383,0.0499,0.102
ENSDARG00000026348,4.86,0.416,0.389,2.19,0.199,0.077
ENSDARG00000026350,0.0541,0.018,0.184,0.0111,0.0086,0.0388
ENSDARG00000026359,0.192,0.024,0.724,0.0933,0.0313,0.136
