ensembl_gene_id,supercluster,subcluster
ENSDARG00000004724,1,0
ENSDARG00000004726,0,1
ENSDARG00000004727,0,1
ENSDARG00000004735,0,0
ENSDARG00000004745,2,0
ENSDARG00000004745,2,0
ENSDARG00000004753,3,0
ENSDARG00000004763,1,1
ENSDARG00000004763,1,1
ENSDARG00000004771,1,1
ENSDARG00000004771,1,1
ENSDARG00000004774,0,1
ENSDARG00000004774,0,2
ENSDARG00000004782,1,1
ENSDARG00000004782,1,0
ENSDARG00000004785,0,0
ENSDARG00000004789,3,1
ENSDARG00000004794,0,1
ENSDARG00000004796,2,1
ENSDARG00000004806,0,0
ENSDARG00000004806,0,2
ENSDARG00000004823,2,1
ENSDARG00000004830,1,1
ENSDARG00000004830,1,1
ENSDARG00000004836,3,1
ENSDARG00000004840,1,1
ENSDARG00000004840,1,1
ENSDARG00000004851,2,1
ENSDARG00000004861,3,0
ENSDARG00000004866,2,0
ENSDARG00000004866,2,2
ENSDARG00000004869,3,0
ENSDARG00000004874,2,0
ENSDARG00000004874,2,0
ENSDARG00000004877,2,1
ENSDARG00000004889,2,1
ENSDARG00000004891,3,1
ENSDARG00000004898,2,0
ENSDARG00000004898,2,1
ENSDARG00000004904,3,1
ENSDARG00000004906,0,1
ENSDARG00000004925,2,0
ENSDARG00000004930,1,1
ENSDARG00000004930,1,1
ENSDARG00000004931,1,1
ENSDARG00000004931,1,1
ENSDARG00000004932,1,1
ENSDARG00000004937,0,1
ENSDARG00000004953,0,0
ENSDARG00000004954,3,1
ENSDARG00000004956,0,0
ENSDARG00000004956,0,0
ENSDARG00000004964,1,1
ENSDARG00000004964,1,1
ENSDARG00000004979,0,0
ENSDARG00000004988,3,0
ENSDARG00000005002,1,1
ENSDARG00000005002,1,0
ENSDARG00000005004,3,0
ENSDARG00000005010,0,0
ENSDARG00000005010,0,0
ENSDARG00000005015,2,1
ENSDARG00000005023,1,1
ENSDARG00000005023,1,0
ENSDARG00000005026,1,0
ENSDARG00000005034,3,1
ENSDARG00000005050,3,0
ENSDARG00000005058,0,1
ENSDARG00000005058,0,1
ENSDARG00000005078,2,1
ENSDARG00000005085,1,1
ENSDARG00000005092,1,1
ENSDARG00000005092,1,0
ENSDARG00000005095,3,1
ENSDARG00000005104,0,1
ENSDARG00000005108,2,1
ENSDARG00000005112,1,1
ENSDARG00000005112,1,1
ENSDARG00000005122,0,0
ENSDARG00000005122,0,2
ENSDARG00000005126,2,1
ENSDARG00000005128,0,0
ENSDARG00000005128,0,0
ENSDARG00000005134,0,0
ENSDARG00000005139,1,1
ENSDARG00000005141,3,0
ENSDARG00000005150,1,0
ENSDARG00000005154,2,0
ENSDARG00000005159,1,1
ENSDARG00000005162,1,0
ENSDARG00000005163,2,1
ENSDARG00000005172,2,0
ENSDARG00000005172,2,2
ENSDARG00000005176,1,1
ENSDARG00000005176,1,0
ENSDARG00000005179,3,0
ENSDARG00000005185,1,1
ENSDARG00000005185,1,1
ENSDARG00000005186,3,1
ENSDARG00000005191,1,0
ENSDARG00000005191,1,2
ENSDARG00000005210,0,0
ENSDARG00000005216,1,1
ENSDARG00000005216,1,0
ENSDARG00000005218,2,0
ENSDARG00000005218,2,1
ENSDARG00000005220,1,0
ENSDARG00000005221,3,0
ENSDARG00000005230,0,0
