GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000030106,5.86,1.3,0.249,0.676,1.45,2.77,0.675,0.143,0.115,0.984
ENSDARG00000030107,2.59,0.758,0.255,0.521,0.965,1.02,0.501,0.106,0.113,0.565
ENSDARG00000030108,3.03,1.15,0.471,0.539,1.76,1.0,0.818,0.533,0.333,1.72
ENSDARG00000030110,4.69,1.58,0.143,0.574,6.5,1.8,0.843,0.0591,0.114,0.879
ENSDARG00000030114,2.19,1.47,0.288,0.395,0.64,0.885,0.765,0.128,0.0857,0.376
ENSDARG00000030116,6.02,0.802,0.274,0.384,0.896,2.02,0.572,0.0976,0.0852,0.543
ENSDARG00000030125,0.996,1.61,0.114,0.313,3.16,0.305,0.846,0.0413,0.0603,0.942
ENSDARG00000030129,0.255,0.402,0.164,0.459,2.06,0.125,0.161,0.089,0.0921,2.09
ENSDARG00000030133,0.031,1.08,0.488,0.295,4.91,0.0192,0.13,0.544,0.0471,5.77
ENSDARG00000030139,7.89,1.55,0.158,0.646,0.7,3.24,0.814,0.0895,0.113,0.387
ENSDARG00000030153,3.85,1.31,0.3,0.543,0.615,1.52,0.722,0.124,0.123,0.371
ENSDARG00000030154,0.904,1.48,0.0548,0.312,15.3,0.329,0.823,0.0287,0.0641,1.56
ENSDARG00000030155,129.0,1.05,0.466,2.02,0.641,192.0,0.662,0.531,1.84,0.597
ENSDARG00000030156,0.643,1.58,0.144,0.575,0.956,0.217,0.832,0.0559,0.114,0.565
ENSDARG00000030157,1.0,0.952,0.539,0.805,2.09,0.346,0.889,0.27,0.11,1.07
ENSDARG00000030161,6.06,1.56,0.141,0.791,2.79,2.36,0.859,0.0641,0.147,0.819
ENSDARG00000030166,3.03,1.55,0.255,0.474,0.77,1.13,0.825,0.114,0.0859,0.355
ENSDARG00000030173,0.402,1.31,0.101,0.336,2.08,0.147,0.469,0.0472,0.0621,1.52
ENSDARG00000030176,4.76,1.6,0.149,0.723,7.55,0.589,0.0271,0.0367,0.0624,1.68
ENSDARG00000030177,12.2,1.43,0.266,0.713,0.577,5.25,0.775,0.127,0.151,0.37
ENSDARG00000030213,29.4,1.23,0.454,0.382,0.362,8.15,0.903,0.15,0.0811,0.139
ENSDARG00000030215,41.0,1.55,0.126,1.2,54.2,19.5,0.812,0.0958,0.19,6.35
ENSDARG00000030224,4.5,1.38,0.25,0.454,0.661,1.82,0.707,0.119,0.0877,0.436
ENSDARG00000030236,4.43,1.03,0.218,0.348,0.902,1.88,0.474,0.105,0.0669,0.572
ENSDARG00000030237,6.61,0.471,0.134,0.411,2.29,2.38,0.0945,0.0519,0.0792,1.67
ENSDARG00000030239,0.456,0.754,0.207,0.233,1.73,0.182,0.265,0.0849,0.0489,1.22
ENSDARG00000030241,12.3,1.53,0.228,0.462,0.515,3.61,0.796,0.0771,0.101,0.312
ENSDARG00000030250,0.0968,1.31,0.121,0.234,3.06,0.0495,0.111,0.0783,0.0471,2.49
ENSDARG00000030251,0.789,1.58,0.239,0.409,0.607,0.314,0.832,0.108,0.0898,0.37
ENSDARG00000030262,0.705,1.58,0.148,0.494,8.7,0.205,0.0652,0.0762,0.0691,1.77
ENSDARG00000030263,0.207,1.58,0.0496,0.218,26.8,0.117,0.803,0.0379,0.0496,4.42
ENSDARG00000030265,1.25,1.56,0.0621,0.469,24.9,0.687,0.86,0.0487,0.0936,4.64
ENSDARG00000030267,2.45,1.45,0.193,0.795,0.773,1.03,0.777,0.0891,0.155,0.485
ENSDARG00000030269,0.086,1.62,0.0553,0.279,7.66,0.0177,0.114,0.0104,0.0304,5.99
ENSDARG00000030270,58.8,1.4,0.0885,1.23,17.5,24.9,0.769,0.0534,0.199,1.15
ENSDARG00000030278,9.39,1.71,0.127,0.186,2.47,1.85,0.648,0.0292,0.0387,0.704
ENSDARG00000030289,0.513,1.58,0.103,0.528,2.32,0.175,0.838,0.0407,0.0999,1.07
ENSDARG00000030297,2.23,1.5,0.135,0.513,1.56,0.668,0.633,0.047,0.0943,1.0
ENSDARG00000030307,0.186,1.61,0.0674,0.221,8.89,0.0644,0.0857,0.0361,0.124,4.13
ENSDARG00000030311,0.0354,1.56,0.0714,0.142,8.59,0.0237,0.82,0.0702,0.0371,7.72
ENSDARG00000030326,4.99,1.6,0.374,0.207,3.33,1.39,0.874,0.112,0.0511,0.302
ENSDARG00000030335,2.94,1.44,0.259,0.506,0.6,0.98,0.794,0.0939,0.113,0.369
ENSDARG00000030340,8.76,1.54,0.244,0.427,0.986,2.39,0.831,0.0748,0.0825,0.43
ENSDARG00000030347,0.00292,1.43,1.26,0.68,3.09,0.00155,0.661,1.12,0.0838,3.88
ENSDARG00000030349,33.4,1.25,0.0418,0.378,23.4,11.4,0.726,0.0242,0.0794,0.3
ENSDARG00000030350,0.315,1.64,0.118,0.354,4.21,0.142,0.869,0.0642,0.0652,1.4
ENSDARG00000030357,0.0267,1.61,0.146,0.686,4.01,0.0136,0.378,0.157,0.113,4.94
ENSDARG00000030364,0.35,1.66,0.107,0.404,7.32,0.145,0.688,0.0481,0.0788,2.63
ENSDARG00000030367,3.09,1.58,0.096,1.15,1.63,1.29,0.832,0.0472,0.205,0.809
ENSDARG00000030368,4.2,1.26,0.138,0.879,1.07,1.74,0.649,0.0685,0.155,0.739
ENSDARG00000030376,0.347,0.978,0.0654,0.296,33.5,0.197,0.485,0.0458,0.0637,6.73
ENSDARG00000030402,5.24,1.51,0.184,0.519,5.31,2.02,0.776,0.0765,0.113,0.534
ENSDARG00000030408,73.6,1.62,0.151,0.343,3.68,17.6,0.874,0.0431,0.0686,0.312
ENSDARG00000030411,75.3,1.27,0.128,1.26,17.8,40.5,0.735,0.124,0.217,4.04
ENSDARG00000030417,0.239,1.61,0.126,0.278,3.12,0.106,0.86,0.0599,0.053,1.9
ENSDARG00000030440,20.6,1.45,0.25,0.57,0.96,6.41,0.803,0.0888,0.106,0.539
ENSDARG00000030441,12.7,1.42,0.117,0.357,0.861,3.41,0.61,0.0421,0.0668,0.505
ENSDARG00000030448,1.64,1.04,0.131,0.324,2.01,0.55,0.262,0.0523,0.0604,1.46
ENSDARG00000030449,3.55,1.57,0.143,1.28,1.84,1.59,0.831,0.0774,0.214,0.848
ENSDARG00000030463,0.51,1.7,0.0287,0.262,6.46,0.111,0.0363,0.0116,0.0561,0.29
ENSDARG00000030465,2.48,1.55,0.159,0.443,1.56,0.75,0.647,0.0537,0.0858,0.958
ENSDARG00000030472,0.182,1.52,0.117,0.301,0.908,0.0728,0.0527,0.0646,0.0658,0.438
ENSDARG00000030478,1.68,1.38,0.461,0.883,4.57,1.26,0.673,0.502,0.142,6.09
ENSDARG00000030479,52.0,1.41,0.126,0.556,2.19,17.2,0.77,0.0504,0.102,0.927
ENSDARG00000030490,1.94,1.61,0.133,0.391,12.9,0.483,0.076,0.0313,0.208,4.39
ENSDARG00000030494,1.82,1.57,0.126,0.697,5.57,0.766,0.84,0.0581,0.13,1.43
ENSDARG00000030508,0.0471,0.834,0.712,0.587,5.21,0.0188,0.225,0.575,0.0784,5.12
ENSDARG00000030512,0.44,1.49,0.196,0.451,1.98,0.0637,0.0294,0.0368,0.091,0.754
ENSDARG00000030514,1.63,1.58,0.0969,0.388,4.14,0.392,0.0246,0.0248,0.0365,0.297
ENSDARG00000030530,1.36,1.44,0.211,0.642,3.44,0.351,0.053,0.0597,0.0698,0.251
ENSDARG00000030532,2.74,1.45,0.199,0.749,0.739,1.12,0.767,0.0895,0.152,0.449
ENSDARG00000030537,9.02,1.61,0.145,0.425,2.42,2.78,0.863,0.0505,0.0821,0.914
ENSDARG00000030547,1.19,1.65,0.151,0.451,4.17,0.511,0.865,0.0792,0.0807,0.901
ENSDARG00000030560,9.81,0.724,0.237,0.275,1.43,3.29,0.452,0.0807,0.0603,0.882
ENSDARG00000030563,0.833,3.98,0.143,0.279,2.33,0.316,0.904,0.0618,0.0575,1.11
ENSDARG00000030573,2.57,1.42,0.199,0.742,0.778,1.03,0.763,0.0857,0.157,0.435
ENSDARG00000030583,9.7,1.46,0.207,0.36,1.18,2.95,0.69,0.0691,0.0717,0.787
ENSDARG00000030588,0.445,1.61,0.126,0.329,13.7,0.192,0.844,0.0582,0.0696,3.09
ENSDARG00000030591,0.513,1.11,0.0966,1.14,1.6,0.236,0.608,0.0548,0.193,1.32
ENSDARG00000030598,1.15,1.52,0.0816,0.301,6.31,0.477,0.8,0.0425,0.0567,1.42
ENSDARG00000030602,390.0,1.61,0.155,0.423,3.42,110.0,0.874,0.0522,0.0814,0.49
ENSDARG00000030604,0.455,1.51,0.111,0.385,35.2,0.187,0.0548,0.0447,0.212,18.3
ENSDARG00000030608,0.673,0.992,0.144,0.556,1.26,0.281,0.478,0.0705,0.101,0.943
ENSDARG00000030614,3.63,1.56,0.0647,0.621,19.7,2.36,0.692,0.065,0.14,3.96
ENSDARG00000030616,0.897,1.55,0.119,0.526,52.6,0.439,0.826,0.145,0.108,17.1
ENSDARG00000030621,0.172,1.72,0.0697,0.265,17.4,0.0359,0.149,0.0339,0.177,8.3
ENSDARG00000030626,0.23,1.55,0.0509,0.0376,53.0,0.08,0.0724,0.0238,0.0135,2.92
ENSDARG00000030630,0.341,0.948,0.154,0.556,1.81,0.157,0.42,0.0862,0.0983,1.62
ENSDARG00000030632,0.357,1.8,0.055,0.299,12.4,0.135,0.171,0.0405,0.21,4.96
ENSDARG00000030633,0.276,2.66,0.122,0.165,2.57,0.0941,0.367,0.0478,0.0355,1.23
ENSDARG00000030634,0.04,1.55,0.12,0.595,3.01,0.0198,0.0824,0.068,0.0718,2.2
ENSDARG00000030636,0.287,2.39,0.136,0.628,1.97,0.12,0.773,0.0672,0.111,1.4
ENSDARG00000030641,0.442,0.94,0.154,0.502,1.43,0.202,0.412,0.0841,0.0908,1.17
ENSDARG00000030644,0.803,1.52,0.203,0.718,0.933,0.377,0.801,0.118,0.124,0.72
ENSDARG00000030650,0.204,1.61,0.0867,0.257,5.64,0.0883,0.85,0.0484,0.0519,1.83
ENSDARG00000030656,0.869,1.57,0.0327,0.393,4.74,0.448,0.84,0.0272,0.0909,2.18
ENSDARG00000030665,3.33,1.0,0.156,0.923,1.01,1.52,0.595,0.076,0.175,0.671
ENSDARG00000030687,0.489,1.57,0.0407,0.255,24.1,0.225,0.865,0.0264,0.0584,3.06
ENSDARG00000030694,9.07,1.61,0.0871,0.469,0.711,3.14,0.839,0.0495,0.0887,0.336
ENSDARG00000030700,5.98,0.963,0.117,1.15,1.22,2.68,0.608,0.0576,0.211,0.808
ENSDARG00000030703,1.15,1.59,0.0844,1.53,1.31,0.533,0.845,0.0491,0.267,0.81
ENSDARG00000030716,8.86,1.52,0.131,0.301,0.895,2.14,0.835,0.0385,0.0588,0.598
ENSDARG00000030722,0.828,1.58,0.179,0.304,7.71,0.292,0.828,0.0664,0.0664,1.17
ENSDARG00000030723,3.49,1.58,0.228,0.34,2.76,1.02,0.861,0.0726,0.075,0.467
ENSDARG00000030733,0.604,1.81,0.0472,0.218,14.2,0.264,0.0772,0.0237,0.0305,1.05
ENSDARG00000030743,0.714,0.421,0.137,0.352,3.2,0.399,0.0823,0.0867,0.0696,2.62
ENSDARG00000030750,0.524,1.37,0.104,0.171,49.2,0.172,0.239,0.0416,0.0437,2.96
ENSDARG00000030753,1.03,0.656,0.189,0.296,2.11,0.403,0.0982,0.0782,0.0586,1.47
ENSDARG00000030756,4.54,2.77,0.131,0.603,1.59,1.52,0.68,0.0502,0.114,1.01
ENSDARG00000030758,0.98,1.54,0.151,0.0696,52.1,0.355,0.848,0.057,0.0169,3.4
ENSDARG00000030759,1.01,0.82,0.0882,1.04,2.16,0.438,0.473,0.0469,0.174,1.64
ENSDARG00000030761,0.514,1.21,0.704,0.67,4.24,0.253,0.784,0.558,0.0973,9.05
ENSDARG00000030765,11.7,1.55,0.21,0.438,0.617,3.84,0.825,0.0881,0.0807,0.289
ENSDARG00000030775,3.15,1.55,0.291,0.494,0.753,0.982,0.837,0.101,0.0973,0.406
ENSDARG00000030778,0.0818,1.43,0.106,0.298,19.8,0.0437,0.032,0.0287,0.12,29.1
ENSDARG00000030781,4.69,1.59,0.183,0.435,2.0,1.72,0.726,0.0761,0.0799,1.08
ENSDARG00000030782,0.0963,1.57,0.0499,0.204,14.4,0.055,0.844,0.0451,0.0504,4.32
ENSDARG00000030786,0.634,1.26,0.119,0.411,1.14,0.276,0.605,0.0682,0.0753,0.807
ENSDARG00000030789,7.83,0.726,0.13,0.977,1.29,3.49,0.476,0.0609,0.19,0.893
ENSDARG00000030803,0.404,1.29,0.157,0.432,2.65,0.208,0.291,0.1,0.0774,1.92
ENSDARG00000030804,1.39,1.37,0.172,1.0,0.904,0.664,0.731,0.0926,0.186,0.591
ENSDARG00000030805,0.542,1.57,0.171,0.67,0.825,0.242,0.831,0.0787,0.146,0.588
ENSDARG00000030824,2.13,1.67,0.206,0.405,1.73,0.775,0.747,0.0826,0.0779,0.992
ENSDARG00000030830,4.7,1.23,0.193,0.68,0.818,1.95,0.654,0.09,0.136,0.534
ENSDARG00000030832,0.329,1.53,0.0922,0.467,4.74,0.211,0.8,0.0851,0.0975,3.88
ENSDARG00000030839,0.49,1.61,0.124,0.731,3.11,0.205,0.826,0.0713,0.12,2.58
ENSDARG00000030844,1.62,2.39,0.0703,0.571,3.57,0.745,0.828,0.0487,0.109,1.57
ENSDARG00000030867,0.099,1.67,0.117,0.14,27.4,0.0199,0.0718,0.0184,0.00715,5.27
ENSDARG00000030871,4.38,0.394,0.15,0.446,2.03,1.81,0.236,0.0657,0.0946,1.27
ENSDARG00000030872,0.4,1.57,0.0438,0.282,8.03,0.162,0.829,0.0267,0.0607,1.73
ENSDARG00000030881,0.491,1.61,0.157,0.532,1.24,0.214,0.797,0.0865,0.0943,0.959
ENSDARG00000030887,3.19,0.606,0.175,0.54,1.23,1.37,0.368,0.0776,0.109,0.89
ENSDARG00000030896,0.695,1.84,0.0548,0.508,12.4,0.422,0.238,0.0533,0.249,4.73
ENSDARG00000030905,3.05,1.13,0.193,0.846,0.936,1.35,0.611,0.0968,0.156,0.587
ENSDARG00000030913,7.28,1.44,0.263,0.635,0.597,3.05,0.756,0.123,0.135,0.36
ENSDARG00000030914,0.927,1.61,0.116,0.315,3.77,0.359,0.862,0.0536,0.0598,1.02
ENSDARG00000030932,0.831,1.58,0.182,0.114,8.01,0.0786,0.0151,0.0212,0.0104,0.27
ENSDARG00000030933,0.277,2.65,0.0659,0.216,2.45,0.0962,0.295,0.0314,0.0458,1.31
ENSDARG00000030945,0.689,1.38,0.123,0.634,1.87,0.267,0.577,0.0613,0.107,1.42
ENSDARG00000030949,7.85,0.569,0.141,0.645,2.32,3.29,0.239,0.063,0.115,1.75
ENSDARG00000030954,0.0679,1.52,0.09,0.14,6.24,0.0209,0.102,0.0328,0.0131,0.951
ENSDARG00000030957,10.4,0.566,0.247,0.465,0.904,4.42,0.29,0.106,0.103,0.586
ENSDARG00000030961,0.153,1.59,0.128,0.317,3.52,0.0635,0.851,0.0572,0.0616,1.94
ENSDARG00000030964,1.39,0.794,0.159,0.818,1.23,0.64,0.474,0.0807,0.152,0.891
ENSDARG00000030967,0.343,1.53,0.118,0.196,6.66,0.111,0.827,0.0425,0.0412,1.6
ENSDARG00000030972,4.31,1.37,0.185,0.942,0.808,1.86,0.756,0.0867,0.189,0.506
ENSDARG00000030975,0.31,1.58,0.0906,0.237,4.8,0.116,0.856,0.0387,0.0471,1.79
ENSDARG00000030980,1.28,1.53,0.0623,0.0803,53.9,0.139,0.0367,0.0113,0.0144,3.41
ENSDARG00000030981,1.42,0.303,0.13,0.208,2.66,0.563,0.0483,0.0558,0.0438,1.95
ENSDARG00000030999,0.419,1.57,0.0862,0.472,5.51,0.156,0.835,0.038,0.0885,2.14
ENSDARG00000031015,0.449,1.51,0.0699,0.252,8.22,0.148,0.813,0.0304,0.0517,1.47
ENSDARG00000031020,7.3,0.428,0.182,0.258,2.09,2.55,0.0985,0.0666,0.0536,1.42
ENSDARG00000031044,1.43,3.02,0.0959,0.58,5.16,0.587,0.66,0.0475,0.105,1.89
ENSDARG00000031046,0.24,1.51,0.144,0.382,6.41,0.0547,0.0948,0.0653,0.0474,2.4
ENSDARG00000031048,1.58,1.6,0.0929,0.577,0.728,0.511,0.844,0.046,0.103,0.419
ENSDARG00000031049,1.36,1.25,0.449,0.877,16.3,0.649,0.638,0.45,0.146,15.4
ENSDARG00000031075,0.932,1.53,0.0646,0.585,1.6,0.386,0.814,0.0434,0.11,1.67
ENSDARG00000031095,0.0623,1.35,0.161,0.479,3.37,0.0314,0.711,0.133,0.0822,4.56
ENSDARG00000031098,2.73,1.23,0.16,0.552,1.7,0.989,0.495,0.0622,0.103,1.09
ENSDARG00000031100,8.78,1.41,0.132,0.359,4.51,2.55,0.689,0.0477,0.0685,0.363
ENSDARG00000031108,1.04,0.448,0.158,0.194,2.24,0.453,0.124,0.0745,0.0411,1.34
ENSDARG00000031116,0.384,0.553,0.189,0.227,2.16,0.158,0.102,0.0815,0.0461,1.5
ENSDARG00000031119,0.416,1.13,0.15,0.535,2.5,0.183,0.283,0.0815,0.0913,1.86
ENSDARG00000031126,1.06,1.58,0.15,1.05,1.24,0.446,0.854,0.076,0.179,0.706
ENSDARG00000031136,0.22,1.52,0.126,0.192,8.56,0.0369,0.0518,0.0235,0.00854,2.73
ENSDARG00000031138,1.01,1.59,0.0769,0.926,3.13,0.406,0.856,0.0375,0.155,1.71
ENSDARG00000031150,0.251,1.57,0.191,0.297,1.56,0.0896,0.76,0.0773,0.0562,1.04
ENSDARG00000031161,0.349,1.6,0.13,0.184,49.1,0.15,0.843,0.0592,0.0388,4.57
ENSDARG00000031164,24.5,1.53,0.126,0.634,3.87,8.53,0.796,0.0542,0.113,0.768
ENSDARG00000031198,3.19,0.439,0.131,0.42,2.39,1.22,0.103,0.0543,0.0804,1.73
ENSDARG00000031200,2.09,1.57,0.111,0.308,1.37,0.582,0.542,0.0384,0.0583,0.947
ENSDARG00000031202,0.402,1.38,0.166,0.524,0.991,0.169,0.719,0.0807,0.1,0.737
ENSDARG00000031203,2.42,1.67,0.181,0.247,0.55,0.51,0.816,0.0458,0.0509,0.358
ENSDARG00000031214,7.79,0.63,0.205,0.404,1.0,3.23,0.265,0.0902,0.0831,0.686
ENSDARG00000031216,36.6,1.15,0.439,0.293,0.493,9.62,0.828,0.135,0.0685,0.183
ENSDARG00000031222,1.32,1.63,0.163,0.258,7.83,0.137,0.0189,0.00595,0.0122,0.152
ENSDARG00000031228,3.52,1.51,0.155,0.206,7.42,0.91,0.824,0.0465,0.0443,0.33
ENSDARG00000031240,1.74,1.43,0.375,0.445,0.839,2.22,0.742,0.526,0.0751,0.453
ENSDARG00000031243,0.141,1.61,0.121,0.426,5.48,0.0639,0.746,0.0686,0.0748,3.6
ENSDARG00000031246,0.331,2.63,0.11,0.514,3.84,0.157,0.776,0.0736,0.0943,2.6
ENSDARG00000031248,1.27,1.51,0.174,0.662,0.684,0.508,0.801,0.0805,0.134,0.459
ENSDARG00000031261,5.21,0.364,0.142,0.633,1.42,2.27,0.213,0.0636,0.141,1.06
ENSDARG00000031269,0.212,1.35,0.0853,0.394,7.92,0.121,0.744,0.0692,0.0786,6.41
ENSDARG00000031278,0.177,1.53,0.0777,0.106,77.2,0.0598,0.0459,0.0331,0.0187,6.81
ENSDARG00000031283,1.94,1.55,0.0361,0.451,13.1,1.08,0.825,0.036,0.11,2.83
ENSDARG00000031293,4.14,1.59,0.449,0.741,1.31,1.51,1.08,0.57,0.142,1.12
ENSDARG00000031299,1.18,1.59,0.093,0.525,1.04,0.401,0.847,0.0483,0.0939,0.567
ENSDARG00000031302,5.64,0.538,0.153,0.289,1.29,2.24,0.145,0.0675,0.0562,0.898
ENSDARG00000031307,1.42,1.53,0.121,0.326,5.97,0.398,0.0594,0.0428,0.0188,0.54
ENSDARG00000031316,1.41,1.1,0.0802,0.396,11.9,0.48,0.532,0.0356,0.0729,1.66
ENSDARG00000031317,29.4,2.34,0.0857,0.648,2.93,13.6,0.848,0.0596,0.115,1.52
ENSDARG00000031325,0.376,0.658,0.105,0.644,1.74,0.149,0.286,0.0474,0.121,1.33
ENSDARG00000031336,1.15,1.57,0.219,0.839,1.76,0.493,0.826,0.112,0.141,0.901
ENSDARG00000031337,3.81,1.49,0.299,0.397,7.77,0.44,0.0375,0.0538,0.0511,0.255
ENSDARG00000031343,0.75,1.61,0.0224,0.258,4.62,0.221,0.847,0.0141,0.0626,0.52
ENSDARG00000031345,0.951,1.53,0.28,0.475,0.795,0.374,0.797,0.126,0.0909,0.53
ENSDARG00000031346,6.21,1.18,0.154,1.05,0.946,2.77,0.687,0.0754,0.195,0.613
ENSDARG00000031348,0.169,1.62,0.0871,0.348,11.3,0.066,0.154,0.0478,0.16,6.34
ENSDARG00000031359,0.0187,1.48,0.151,0.325,12.3,0.00508,0.095,0.0796,0.0476,11.0
ENSDARG00000031366,1.36,1.55,0.114,0.603,1.07,0.429,0.795,0.0494,0.104,0.647
ENSDARG00000031372,1.25,1.69,0.109,0.464,1.05,0.336,0.825,0.0386,0.0831,0.685
ENSDARG00000031382,1.35,0.895,0.138,0.298,2.12,0.533,0.126,0.0631,0.057,1.45
ENSDARG00000031383,0.0609,1.61,0.0561,0.107,8.66,0.0163,0.0485,0.0134,0.0248,3.05
ENSDARG00000031387,0.191,1.91,0.0353,0.238,3.57,0.0916,0.305,0.0293,0.0609,1.83
ENSDARG00000031388,26.1,1.22,0.399,0.286,0.909,12.3,0.801,0.203,0.0601,0.234
ENSDARG00000031420,0.477,1.49,0.212,0.308,5.63,0.26,0.0546,0.106,0.0485,1.34
ENSDARG00000031422,0.629,0.825,0.174,0.558,1.26,0.306,0.412,0.0985,0.102,1.04
ENSDARG00000031426,0.602,1.6,0.0939,0.329,1.54,0.218,0.872,0.0456,0.0634,0.829
ENSDARG00000031427,10.6,0.413,0.0924,0.338,2.5,6.11,0.149,0.0659,0.0754,2.37
ENSDARG00000031434,3.89,0.626,0.141,0.5,1.76,1.46,0.21,0.0562,0.0942,1.3
ENSDARG00000031435,147.0,1.57,0.194,0.434,0.691,36.3,0.848,0.0571,0.0845,0.314
ENSDARG00000031438,0.26,1.41,0.0492,0.392,3.18,0.186,0.752,0.0614,0.11,3.63
ENSDARG00000031463,0.169,1.53,0.0858,0.332,16.0,0.0974,0.816,0.0696,0.0689,9.18
ENSDARG00000031483,16.8,1.62,0.115,0.558,7.21,3.95,0.0424,0.0248,0.261,2.61
ENSDARG00000031489,0.0168,0.806,0.625,0.655,3.63,0.00811,0.46,0.492,0.126,4.13
ENSDARG00000031494,16.7,0.942,0.37,0.213,0.516,4.81,0.447,0.112,0.0526,0.287
ENSDARG00000031495,66.4,0.748,0.122,0.872,1.34,27.3,0.506,0.0545,0.171,0.862
ENSDARG00000031496,2.63,1.15,0.354,0.223,0.526,0.69,0.627,0.1,0.0543,0.298
ENSDARG00000031506,0.762,1.56,0.16,0.373,5.14,0.338,0.345,0.0767,0.0768,2.0
ENSDARG00000031511,36.7,1.41,0.18,0.412,1.69,11.2,0.81,0.0617,0.0814,0.696
ENSDARG00000031533,0.514,1.17,0.119,0.51,2.13,0.206,0.408,0.0621,0.0873,1.68
ENSDARG00000031534,0.227,1.49,0.108,0.39,39.6,0.0524,0.0159,0.0216,0.131,21.9
ENSDARG00000031540,0.23,1.53,0.0747,0.136,42.8,0.0993,0.164,0.033,0.00691,5.53
ENSDARG00000031548,5.24,1.59,0.25,0.365,4.64,1.86,0.863,0.0964,0.0828,0.37
ENSDARG00000031560,4.19,0.803,0.167,0.517,1.3,1.51,0.367,0.0646,0.0997,0.903
ENSDARG00000031562,3.22,1.54,0.25,0.418,0.623,1.11,0.799,0.0966,0.0897,0.394
ENSDARG00000031587,1.64,1.59,0.227,0.456,2.87,0.693,0.877,0.108,0.0867,0.805
ENSDARG00000031588,0.532,1.58,0.101,0.193,69.0,0.214,0.816,0.0448,0.0417,2.82
ENSDARG00000031598,0.49,1.97,0.033,0.17,16.9,0.104,0.113,0.0126,0.0355,0.688
ENSDARG00000031600,0.254,1.51,0.0705,0.313,6.2,0.167,0.296,0.0855,0.1,1.39
ENSDARG00000031616,0.579,1.45,0.218,0.559,4.41,0.244,0.0589,0.158,0.0726,3.24
ENSDARG00000031618,0.374,1.64,0.0739,0.298,9.46,0.132,0.12,0.0329,0.126,3.91
ENSDARG00000031632,3.79,2.28,0.208,0.266,1.74,1.16,1.19,0.0686,0.0583,0.872
ENSDARG00000031637,2.89,1.0,0.135,0.672,1.88,1.2,0.422,0.0599,0.119,1.32
ENSDARG00000031647,1.03,1.2,0.902,0.585,1.64,0.554,0.642,0.688,0.093,1.26
ENSDARG00000031649,1.31,1.61,0.124,0.777,12.3,0.31,0.179,0.0881,0.131,10.6
ENSDARG00000031657,2.04,1.34,0.168,0.394,2.17,0.836,0.422,0.0802,0.0708,1.28
ENSDARG00000031658,0.715,1.58,0.185,0.274,2.07,0.231,0.832,0.0666,0.0549,0.699
ENSDARG00000031664,1.64,1.61,0.084,1.08,4.71,0.78,0.785,0.0457,0.184,2.21
ENSDARG00000031678,10.5,1.56,0.13,0.229,8.88,3.02,0.854,0.0443,0.0453,0.48
ENSDARG00000031680,2.1,1.86,0.117,0.867,1.87,0.826,1.02,0.0571,0.147,1.17
ENSDARG00000031681,6.21,2.26,0.118,0.311,2.47,2.43,1.01,0.0568,0.0604,1.06
ENSDARG00000031683,6.94,0.712,1.11,1.07,1.44,1.5,0.398,0.386,0.18,0.615
ENSDARG00000031698,0.126,1.23,0.293,0.841,1.36,0.0706,0.798,0.298,0.135,1.45
ENSDARG00000031702,2.69,0.69,0.0547,0.254,28.3,0.915,0.303,0.0266,0.0569,0.86
ENSDARG00000031709,1.97,1.5,0.208,0.711,0.844,0.732,0.811,0.0854,0.139,0.503
ENSDARG00000031712,0.0568,1.62,0.0524,0.0932,31.7,0.0159,0.107,0.0226,0.0242,1.64
ENSDARG00000031720,5.07,1.2,0.0921,0.492,1.88,2.52,0.747,0.0661,0.0974,0.933
ENSDARG00000031731,0.0294,1.43,0.346,0.375,4.61,0.00747,0.0969,0.24,0.071,2.25
ENSDARG00000031737,0.186,1.56,0.0834,0.235,35.1,0.0984,0.827,0.0521,0.0492,8.67
ENSDARG00000031745,0.0445,1.51,0.0991,0.199,25.1,0.0146,0.117,0.0802,0.0723,36.8
ENSDARG00000031751,0.175,0.85,0.0945,0.296,3.35,0.0698,0.379,0.046,0.0585,3.16
ENSDARG00000031756,1.15,1.06,0.0741,0.408,12.1,0.517,0.449,0.0443,0.0768,2.56
ENSDARG00000031757,0.269,1.6,0.0743,0.133,60.4,0.13,0.845,0.0421,0.03,6.73
ENSDARG00000031761,2.2,1.08,0.152,1.07,1.75,1.08,0.561,0.101,0.174,1.77
ENSDARG00000031763,4.68,1.41,0.294,0.161,4.84,0.933,0.0209,0.0555,0.0201,0.11
ENSDARG00000031768,1.06,1.32,0.103,0.66,24.0,0.591,0.668,0.0794,0.121,7.52
ENSDARG00000031770,4.81,0.761,0.136,0.939,1.19,2.18,0.469,0.0667,0.176,0.822
ENSDARG00000031774,3.37,0.88,0.141,0.733,1.48,1.3,0.516,0.0586,0.139,0.99
ENSDARG00000031775,5.89,1.04,0.146,0.558,1.64,2.23,0.565,0.0588,0.103,1.14
ENSDARG00000031776,76.6,0.731,0.155,0.911,1.13,34.5,0.457,0.0748,0.176,0.745
ENSDARG00000031777,0.376,1.5,0.114,0.523,11.7,0.21,0.794,0.0891,0.0976,6.22
ENSDARG00000031782,1.03,1.67,0.129,0.325,3.95,0.347,0.885,0.053,0.0627,0.686
